trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-178.9246397816861,"{0: 18, 1: 5, 2: 3, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.21630389272238,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-203.17727436920316,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.09576054078843,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-52.91439883368627,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,9,3.0855870354687545,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.88450707799367,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-187.71534897615075,"{0: 12, 1: 1, 2: 9, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,9,-93.1825176218249,"{0: 11, 1: 2, 2: 0, 3: 1, 4: 2}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-57.29936586813939,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-178.81414020654273,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-234.22589183148304,"{0: 12, 1: 6, 2: 8, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,7,-18.260028227871494,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.01379189281319,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.62500344674258,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.8714998221831,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-148.17357117349445,"{0: 16, 1: 9, 2: 2, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-214.93399743736427,"{0: 16, 1: 1, 2: 9, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-139.25709032381113,"{0: 14, 1: 9, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-208.7774790069373,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-60.70688342642086,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,12,-60.94238210659999,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 1}",1
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-105.5688934245708,"{0: 21, 1: 1, 2: 5, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-42.1769509009802,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,16,-15.486139819855568,"{0: 5, 1: 3, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-168.65226453610745,"{0: 19, 1: 1, 2: 7, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-62.63664017326354,"{0: 19, 1: 6, 2: 5, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-62.107041783023,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-244.52343855809704,"{0: 11, 1: 4, 2: 5, 3: 1, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-145.0403752078794,"{0: 15, 1: 4, 2: 8, 3: 3, 4: 0}",0
